"C:\Program Files (x86)\python\python-3.8.3\python.exe" "C:/Users/joshu/Google Drive/Uni/2020/COMP307/A2/NeuralAndEvolutionaryLearning/src/part_3/genetic_program_for_symbolic_regression.py"
    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    48.81          12907.5       15          2.74583          2.77339      2.45m
   1    27.60          89.7581       63         0.218951        0.0186928      1.62m
   2    32.70          117.646       29        0.0234046        0.0452736      1.59m
   3    31.48          15.0725       29         0.025738        0.0242736      1.47m
   4    39.43          12.2674       29        0.0234046        0.0452736      1.51m
   5    49.78          21.8457       29        0.0234046        0.0452736      1.57m
   6    49.01          11.1252       29        0.0216824        0.0607736      1.48m
   7    40.42          9.22148       29         0.013076       0.00381195      1.23m
   8    30.72          42.5625       29       0.00863152         0.043812      1.01m
   9    23.56          9.10627       29        0.0091992            0.031     51.87s
  10    14.27          13.8913       29        0.0117773           0.0155     41.82s
  11     9.38          12.4515       29        0.0234046        0.0452736     35.56s
  12     9.30          10.9817        9        0.0446067         0.102715     30.96s
  13     9.25          19.5655        9        0.0446067         0.102715     26.51s
  14     9.17          13.6232        9        0.0446067         0.102715     22.07s
  15     9.27          12.6756        9        0.0446067         0.102715     17.82s
  16     9.13          11.8099        9        0.0446067         0.102715     13.18s
  17     9.09          11.5772        9        0.0446067         0.102715      8.85s
  18     9.30          233.104       15        0.0232363        0.0211616      4.48s
  19     9.24          23.1937        9        0.0395459        0.0173294      0.00s
add(mul(X0, X0), div(sub(X0, -0.999), 0.249))

Process finished with exit code 0
